title,field,removed_value,reason
The End of the Day,P212 ISBN-13,9788130000000,bad-checksum
Aleph [english],P212 ISBN-13,9780010000000,bad-checksum
Cmat a Gateway to Dream Mba,P212 ISBN-13,9788130000000,bad-checksum
How to Tackle Civil Service,P212 ISBN-13,9788130000000,bad-checksum
Kuttiedathi and Other Stories,P212 ISBN-13,9788130000000,bad-checksum
Mistress,P577 date,14-09-5,malformed
One Night @ the Call Center,P212 ISBN-13,9788130000000,bad-checksum
Poovan Banana and Other Stories,P212 ISBN-13,9788130000000,bad-checksum
Study Abroad,P212 ISBN-13,9788130000000,bad-checksum
Tharoorosaurus,P212 ISBN-13,978670092604,malformed
Two States,P212 ISBN-13,9788130000000,bad-checksum
Vastuvidya in Contemporary Housing,P212 ISBN-13,9788120000000,bad-checksum
1000 Mahat Vachanangalum 50 Pazhanchollukalum,P212 ISBN-13,9780000101969,placeholder
111 Cheriya Kathakal,P957 ISBN-10,9788135982,bad-checksum
18 Puranangal [26 Volumes] - Print on Demand,P212 ISBN-13,978000056564,malformed
18 Puranangal [26 Volumes] - Print on Demand,P1104 pages,18000,out-of-range
47 Th Anniversary Books Combo,P212 ISBN-13,47192021,malformed
47 Th Anniversary Books Combo,P1104 pages,12236,out-of-range
71+10 Puthiya Science Projectukal,P212 ISBN-13,9788130000000,bad-checksum
Aarogyavum Deerkhayussum,P212 ISBN-13,9788170000000,bad-checksum
Aatmakatha,P212 ISBN-13,9788130000000,bad-checksum
Adukkalayile Rasathanthram,P212 ISBN-13,9788130000000,bad-checksum
Ayyappa Panickarute Narmma Sambhashanangalum Narmma Kavithakalum,P212 ISBN-13,9788130000000,bad-checksum
Bhoomi Chuttupazhukkumbol,P212 ISBN-13,9788126491625,bad-checksum
Dhammapada,P212 ISBN-13,9788120000000,bad-checksum
Dasopanishathu Sruthipriyabhashabhashyam,P957 ISBN-10,9846133336,bad-checksum
Ente Cheriya Kathakal,P212 ISBN-13,988126405756,malformed
Ganitham Samskarangalilute,P212 ISBN-13,9788130000000,bad-checksum
Hastharekhamahavijnanam,P212 ISBN-13,9788130000000,bad-checksum
Janaki,P212 ISBN-13,9788130000000,bad-checksum
Kalidasa Krithikal (print on Demand),P212 ISBN-13,9788130000000,bad-checksum
Kuttikalude Aasan,P212 ISBN-13,9788130000000,bad-checksum
Malabar Pachakkari Vibhavangal,P212 ISBN-13,97881264219474,malformed
Microwave Paachakam,P212 ISBN-13,9788130000000,bad-checksum
Mooladhanam [das Capital],P212 ISBN-13,9788170000000,bad-checksum
Manorama Yearbook 2013 [malayalam],P957 ISBN-10,9709096123,bad-checksum
Non Vegetarian Vibhavangal,P212 ISBN-13,9788130000000,bad-checksum
