title,isbn13,isbn10,existing_qid,wikidata_url
Ajaya Roll of the Dice,9789381576045,,Q126733554,https://www.wikidata.org/wiki/Q126733554
Ambedkar - a Life,9789391047504,,Q136047737,https://www.wikidata.org/wiki/Q136047737
Goat Days,9780143416333,,Q124284740,https://www.wikidata.org/wiki/Q124284740
Harry Potter and the Cursed Child,9780751565355,,Q20711488,https://www.wikidata.org/wiki/Q20711488
If It's Not Forever It's Not Love,9780143421566,,Q40026653,https://www.wikidata.org/wiki/Q40026653
Ignited Minds : Unleashing the Power Within India,9780143029823,,Q132261280,https://www.wikidata.org/wiki/Q132261280
Sapiens (english),9780099590088,,Q122931444,https://www.wikidata.org/wiki/Q122931444
The Boy Who Loved,9780143426578,,Q39605139,https://www.wikidata.org/wiki/Q39605139
The Immortals of Meluha ( Shiva Trilogy Part 1 ),9789380658742,,Q131965923,https://www.wikidata.org/wiki/Q131965923
The Oath of the Vayuputras ( Shiva Trilogy Part 3 ),9789382618348,,Q131928838,https://www.wikidata.org/wiki/Q131928838
Why I Am a Hindu,9789386021106,,Q126733561,https://www.wikidata.org/wiki/Q126733561
Aadujeevitham,9788184231175,,Q124284752,https://www.wikidata.org/wiki/Q124284752
Aalahayude Penmakkal,9788122609462,,Q13564439,https://www.wikidata.org/wiki/Q13564439
Asuravithu,,8171303315,Q137652482,https://www.wikidata.org/wiki/Q137652482
Francis Ittykkora,9788126424580,,Q138822025,https://www.wikidata.org/wiki/Q138822025
Ghoshayathra,9788126419562,,Q16136817,https://www.wikidata.org/wiki/Q16136817
Ordinary,9788182670365,,Q124620477,https://www.wikidata.org/wiki/Q124620477
Oru Desathinte Katha,,8171305709,Q7105119,https://www.wikidata.org/wiki/Q7105119
Tharaspecials,,8171300235,Q61799330,https://www.wikidata.org/wiki/Q61799330
Verukal,,8171308589,Q7922987,https://www.wikidata.org/wiki/Q7922987
