title,action,value
Airavatham,remove P212 (wrong/duplicate ISBN-13),9789353909659
China After Mao,remove P212 (wrong/duplicate ISBN-13),9781526660541
Chinese Pachakom,DROP record (same-book duplicate),
Hercule Poirots Christmas,remove P212 (wrong/duplicate ISBN-13),9780007527540
Hrudayakhatham Prathirodhavum Chikilsaum,DROP record (same-book duplicate),
Malayala Sahithyam 3,remove P212 (wrong/duplicate ISBN-13),9789353901134
Malayalam Thesaurus,remove P957 (duplicate ISBN-10),8126405856
Malayalasahithyam-4,remove P212 (wrong/duplicate ISBN-13),9789353909659
Nanuarum Mattu Novellakalum,remove P212 (wrong/duplicate ISBN-13),9789353901134
Neelanadiyile Maranavum Mattu Crime Thrillarukalum,remove P212 (wrong/duplicate ISBN-13),9788194900030
Nizhalayi,remove P212 (wrong/duplicate ISBN-13),9789354326325
Parethante Devalayavum Mattu Crime Thrillarukalum,remove P212 (wrong/duplicate ISBN-13),9788194900030
Saillikalkku Pinnile Kathakal,DROP record (same-book duplicate),
Samanapada Nighandu,remove P957 (duplicate ISBN-10),8126405856
Sramana Buddhan,remove P212 (wrong/duplicate ISBN-13),9789354329555
Unmadiyude Yathra,remove P212 (wrong/duplicate ISBN-13),9789354326325
Vasthushastra Rahasyangal (print on Demand),remove P212 (wrong/duplicate ISBN-13),9788126417049
Veendum Kurishilettappetta Christu,remove P212 (wrong/duplicate ISBN-13),9789354329555
Veettil Oru Poonthottam,remove P212 (wrong/duplicate ISBN-13),9788126449538
Veettiloru Pachakkarithottam,remove P212 (wrong/duplicate ISBN-13),9788126449538
Viswakarmeeyam,remove P212 (wrong/duplicate ISBN-13),9788126417049
Zen Pencils--inspirational Quotes for Kids,remove P212 (wrong/duplicate ISBN-13),9781449487218
