qid,Len,Lml,Den,Dml,P31,S854,P2093,P212,P957,P407,P495,P577,P1104,P136,P393
,100 Greatest Love Poems,100 ഗ്രീറ്റ്സ്റ് ലവ് പോകേംസ്,English-language book published by Rupa Publications,രൂപ പബ്ലിക്കേഷൻസ് പ്രസിദ്ധീകരിച്ച ഇംഗ്ലീഷ് പുസ്തകം,Q7725634,"""https://dcbookstore.com/books/100-greatest-love-poems""",,"""9789390918072""",,Q1860,Q668,+2021-07-02T00:00:00Z/11,160,,"""1"""
,English Gurunathan,ഇംഗ്ലീഷ് ഗുരുനാഥൻ,English-language reference published by I Rank : an Imprint of DC Books,ഐ റാങ്ക് (ഡിസി ബുക്സ്) പ്രസിദ്ധീകരിച്ച ഇംഗ്ലീഷ് റഫറൻസ് പുസ്തകം,Q7725634,"""https://dcbookstore.com/books/ENGLISH-GURUNAATHAN""","""Vettom Mani""","""9788126424054""",,Q1860,Q668,+2023-01-19T00:00:00Z/11,616,Q13136,"""9"""
,The End of the Day,ദി എൻഡ് ഓഫ് ദി ഡേ,English-language poetry published by DC Books,ഡിസി ബുക്സ് പ്രസിദ്ധീകരിച്ച ഇംഗ്ലീഷ് കവിത,Q7725634,"""https://dcbookstore.com/books/THE-END-OF-THE-DAY""","""O. N. V. Kurup""",,,Q1860,Q668,+2015-06-01T00:00:00Z/11,54,Q482,"""1"""
,A Burning,എ ബർണിങ്,English-language novel published by Penguin,പെൻഗ്വിൻ പ്രസിദ്ധീകരിച്ച ഇംഗ്ലീഷ് നോവൽ,Q7725634,"""https://dcbookstore.com/books/a-burning""","""Megha Majumdar""","""9780670093793""",,Q1860,Q668,+2020-02-12T00:00:00Z/11,293,,"""1"""
,A Fire in the Night,എ ഫയർ ഇൻ ദി നൈറ്റ്,English-language children's literature published by Rupa Publications,രൂപ പബ്ലിക്കേഷൻസ് പ്രസിദ്ധീകരിച്ച ഇംഗ്ലീഷ് ബാലസാഹിത്യം,Q7725634,"""https://dcbookstore.com/books/a-fire-in-the-night""","""Ruskin Bond""","""9789353334680""",,Q1860,Q668,+2019-05-13T00:00:00Z/11,128,Q131539,"""1"""
,A Modern Moms Kitchen*,എ മോഡേൺ മോൻസ് കിച്ചൻ*,English-language cookery published by DC Life,ഡിസി ലൈഫ് പ്രസിദ്ധീകരിച്ച ഇംഗ്ലീഷ് പാചക പുസ്തകം,Q7725634,"""https://dcbookstore.com/books/a-modern-moms-kitchen""","""Lizbeth Renjith""",,,Q1860,Q668,+2020-12-08T00:00:00Z/11,140,Q605076,"""1"""
,A Murder is Announced,എ മുർഡർ ഈസ് അന്നൗൻസ്ഡ്,English-language novel published by Harper Collins,ഹാർപ്പർ കോളിൻസ് പ്രസിദ്ധീകരിച്ച ഇംഗ്ലീഷ് നോവൽ,Q7725634,"""https://dcbookstore.com/books/a-murder-is-announced""","""Agatha Christie""","""9780008196554""",,Q1860,Q668,+1950-02-02T00:00:00Z/11,310,,"""1"""
,A Promised Land,എ പ്രോമിസ്ഡ്‌ ലാൻഡ്,English-language autobiography & biography published by Viking,വൈക്കിംഗ് പ്രസിദ്ധീകരിച്ച ഇംഗ്ലീഷ് ആത്മകഥയും ജീവചരിത്രവും,Q7725634,"""https://dcbookstore.com/books/a-promised-land""","""Barack Obama""","""9780241491515""",,Q1860,Q668,+2020-11-15T00:00:00Z/11,751,Q36279,"""1"""
,A Shadow of the Past,എ ഷാഡോ ഓഫ് ദി പാസ്ററ്,English-language non fiction published by Aleph Book Company,അലെഫ് ബുക്ക് കമ്പനി പ്രസിദ്ധീകരിച്ച ഇംഗ്ലീഷ് നോൺ ഫിക്ഷൻ,Q7725634,"""https://dcbookstore.com/books/a-shadow-of-the-past""","""Mehru Jaffer""","""9789390652488""",,Q1860,Q668,+2021-07-02T00:00:00Z/11,129,,"""1"""
,A Simple Way of Learning English,എ സിമ്പിൾ വായ് ഓഫ് ലീർണിങ് ഇംഗ്ലീഷ്,English-language academics published by I Rank : an Imprint of DC Books,ഐ റാങ്ക് (ഡിസി ബുക്സ്) പ്രസിദ്ധീകരിച്ച ഇംഗ്ലീഷ് അക്കാദമിക് പുസ്തകം,Q7725634,"""https://dcbookstore.com/books/a-simple-way-of-learning-english""","""Bitter C Mukkolakkal""","""9788126451470""",,Q1860,Q668,+2020-01-01T00:00:00Z/11,80,Q193495,"""1"""
,A Southern Music the Karnatik Story,എ സൗത്തേൺ മ്യൂസിക് ദി കർണാടിക് സ്റ്റോറി,English-language art published by Harper Collins,ഹാർപ്പർ കോളിൻസ് പ്രസിദ്ധീകരിച്ച ഇംഗ്ലീഷ് കലാ പുസ്തകം,Q7725634,"""https://dcbookstore.com/books/a-southern-music-the-karnatik-story""","""T M Krishna""","""9789351777403""",,Q1860,Q668,+2016-07-13T00:00:00Z/11,608,Q36649,"""1"""
,A Time for Mercy,എ ടൈം ഫോർ മേഴ്‌സി,English-language novel published by Hodder & Stoughton,ഹോഡർ ആൻഡ് സ്റ്റോട്ടൻ പ്രസിദ്ധീകരിച്ച ഇംഗ്ലീഷ് നോവൽ,Q7725634,"""https://dcbookstore.com/books/a-time-for-mercy-385132541125""","""John Grisham""","""9781529342338""",,Q1860,Q668,+2020-06-17T00:00:00Z/11,464,,"""1"""
,Al Arabian Novel Factory,അൽ അറേബ്യൻ നോവൽ ഫാക്ടറി,English-language literary fiction published by Juggernaut,ജഗർനോട്ട് പ്രസിദ്ധീകരിച്ച ഇംഗ്ലീഷ് സാഹിത്യ ഫിക്ഷൻ,Q7725634,"""https://dcbookstore.com/books/al-arabian-novel-factory""","""Benyamin""","""9789353450663""",,Q1860,Q668,+2019-11-30T00:00:00Z/11,155,,"""1"""
,Aladdins Magic Lamp and Other Stories From Arabian Nights,അൽഅദ്ദിന്സ് മാജിക് ലാംപ് ആൻഡ് അദർ സ്റ്റോറീസ് ഫ്രം അറേബ്യൻ നെറ്സ്,English-language short stories published by Mango,മാംഗോ പ്രസിദ്ധീകരിച്ച ഇംഗ്ലീഷ് ചെറുകഥകൾ,Q7725634,"""https://dcbookstore.com/books/aladdins-magic-lamp-and-other-stories-from-arabian-nights""","""Shilpa Sara Sam""","""9789387169043""",,Q1860,Q668,+2023-07-29T00:00:00Z/11,210,,"""2"""
,Aleph [english],ലഫ് [ഇംഗ്ലീഷ്],English-language novel published by Harper Collins Publishers,ഹാർപ്പർ കോളിൻസ് പബ്ലിഷേഴ്സ് പ്രസിദ്ധീകരിച്ച ഇംഗ്ലീഷ് നോവൽ,Q7725634,"""https://dcbookstore.com/books/aleph-english""","""Paulo Coelho""",,,Q1860,Q668,+2011-01-09T00:00:00Z/11,320,,"""3"""
,All Roads Lead to Ganga,ഓൾ റോഡ്സ് ലീഡ് ടോ ഗംഗ,English-language children's literature published by Rupa Publications,രൂപ പബ്ലിക്കേഷൻസ് പ്രസിദ്ധീകരിച്ച ഇംഗ്ലീഷ് ബാലസാഹിത്യം,Q7725634,"""https://dcbookstore.com/books/all-roads-lead-to-ganga""","""Ruskin Bond""","""9788129112132""",,Q1860,Q668,+2008-01-16T00:00:00Z/11,128,Q131539,"""1"""
